architecture_item_id,relative_path,item_type,domain,purpose,azure_reference_services,security_or_governance_relevance,deployment_status,limitations
ARCHITEM-021,infra/bicep/main.bicep,iac_blueprint,portfolio,"Reference architecture, boundary, policy, runbook, or blueprint evidence.",Azure reference architecture services,Documents reference-only controls and lineage.,reference_only,No Azure resources were deployed.
ARCHITEM-022,infra/bicep/modules/ai-services.bicep,iac_blueprint,portfolio,"Reference architecture, boundary, policy, runbook, or blueprint evidence.",Azure reference architecture services,Documents reference-only controls and lineage.,reference_only,No Azure resources were deployed.
ARCHITEM-023,infra/bicep/modules/analytics.bicep,iac_blueprint,portfolio,"Reference architecture, boundary, policy, runbook, or blueprint evidence.",Azure reference architecture services,Documents reference-only controls and lineage.,reference_only,No Azure resources were deployed.
ARCHITEM-024,infra/bicep/modules/dashboards.bicep,iac_blueprint,dashboard,"Reference architecture, boundary, policy, runbook, or blueprint evidence.","Power BI, Microsoft Fabric",Documents reference-only controls and lineage.,reference_only,No Azure resources were deployed.
ARCHITEM-025,infra/bicep/modules/event-hubs.bicep,iac_blueprint,portfolio,"Reference architecture, boundary, policy, runbook, or blueprint evidence.",Azure reference architecture services,Documents reference-only controls and lineage.,reference_only,No Azure resources were deployed.
ARCHITEM-026,infra/bicep/modules/governance.bicep,iac_blueprint,portfolio,"Reference architecture, boundary, policy, runbook, or blueprint evidence.",Azure reference architecture services,Documents reference-only controls and lineage.,reference_only,No Azure resources were deployed.
ARCHITEM-027,infra/bicep/modules/machine-learning.bicep,iac_blueprint,portfolio,"Reference architecture, boundary, policy, runbook, or blueprint evidence.",Azure Machine Learning,Documents reference-only controls and lineage.,reference_only,No Azure resources were deployed.
ARCHITEM-028,infra/bicep/modules/monitoring.bicep,iac_blueprint,monitoring,"Reference architecture, boundary, policy, runbook, or blueprint evidence.","Azure Monitor, Log Analytics",Documents reference-only controls and lineage.,reference_only,No Azure resources were deployed.
ARCHITEM-029,infra/bicep/modules/storage.bicep,iac_blueprint,portfolio,"Reference architecture, boundary, policy, runbook, or blueprint evidence.","Azure Data Lake Storage Gen2, Microsoft Purview",Documents reference-only controls and lineage.,reference_only,No Azure resources were deployed.
ARCHITEM-030,infra/bicep/parameters.reference.json,json,portfolio,"Reference architecture, boundary, policy, runbook, or blueprint evidence.",Azure reference architecture services,Documents reference-only controls and lineage.,reference_only,No Azure resources were deployed.
ARCHITEM-031,infra/policies/azure-policy-notes.md,markdown,portfolio,"Reference architecture, boundary, policy, runbook, or blueprint evidence.",Azure reference architecture services,Documents reference-only controls and lineage.,reference_only,No Azure resources were deployed.
ARCHITEM-032,infra/policies/data-governance-notes.md,markdown,portfolio,"Reference architecture, boundary, policy, runbook, or blueprint evidence.","Azure Data Lake Storage Gen2, Microsoft Purview",Documents reference-only controls and lineage.,reference_only,No Azure resources were deployed.
ARCHITEM-033,infra/policies/private-networking-notes.md,markdown,portfolio,"Reference architecture, boundary, policy, runbook, or blueprint evidence.",Azure reference architecture services,Documents reference-only controls and lineage.,reference_only,No Azure resources were deployed.
ARCHITEM-034,infra/policies/rbac-matrix.md,markdown,portfolio,"Reference architecture, boundary, policy, runbook, or blueprint evidence.","Microsoft Entra ID, Azure Key Vault",Documents reference-only controls and lineage.,reference_only,No Azure resources were deployed.
ARCHITEM-035,infra/runbooks/cost-management-runbook.md,markdown,portfolio,"Reference architecture, boundary, policy, runbook, or blueprint evidence.",Azure reference architecture services,Documents reference-only controls and lineage.,reference_only,No Azure resources were deployed.
ARCHITEM-036,infra/runbooks/data-quality-runbook.md,markdown,quality,"Reference architecture, boundary, policy, runbook, or blueprint evidence.","Azure Data Lake Storage Gen2, Microsoft Purview",Documents reference-only controls and lineage.,reference_only,No Azure resources were deployed.
ARCHITEM-037,infra/runbooks/deployment-boundary.md,markdown,portfolio,"Reference architecture, boundary, policy, runbook, or blueprint evidence.",Azure reference architecture services,Documents reference-only controls and lineage.,reference_only,No Azure resources were deployed.
ARCHITEM-038,infra/runbooks/incident-response-runbook.md,markdown,portfolio,"Reference architecture, boundary, policy, runbook, or blueprint evidence.",Azure reference architecture services,Documents reference-only controls and lineage.,reference_only,No Azure resources were deployed.
ARCHITEM-039,infra/runbooks/local-validation-runbook.md,markdown,portfolio,"Reference architecture, boundary, policy, runbook, or blueprint evidence.",Azure reference architecture services,Documents reference-only controls and lineage.,reference_only,No Azure resources were deployed.
ARCHITEM-040,infra/runbooks/model-monitoring-runbook.md,markdown,monitoring,"Reference architecture, boundary, policy, runbook, or blueprint evidence.","Azure Monitor, Log Analytics",Documents reference-only controls and lineage.,reference_only,No Azure resources were deployed.
ARCHITEM-041,infra/terraform/README.md,markdown,portfolio,"Reference architecture, boundary, policy, runbook, or blueprint evidence.",Azure reference architecture services,Documents reference-only controls and lineage.,reference_only,No Azure resources were deployed.
ARCHITEM-042,infra/terraform/main.tf,iac_blueprint,portfolio,"Reference architecture, boundary, policy, runbook, or blueprint evidence.",Azure reference architecture services,Documents reference-only controls and lineage.,reference_only,No Azure resources were deployed.
ARCHITEM-043,infra/terraform/outputs.tf,iac_blueprint,portfolio,"Reference architecture, boundary, policy, runbook, or blueprint evidence.",Azure reference architecture services,Documents reference-only controls and lineage.,reference_only,No Azure resources were deployed.
ARCHITEM-044,infra/terraform/terraform.tfvars.example,example,portfolio,"Reference architecture, boundary, policy, runbook, or blueprint evidence.",Azure reference architecture services,Documents reference-only controls and lineage.,reference_only,No Azure resources were deployed.
ARCHITEM-045,infra/terraform/variables.tf,iac_blueprint,portfolio,"Reference architecture, boundary, policy, runbook, or blueprint evidence.",Azure reference architecture services,Documents reference-only controls and lineage.,reference_only,No Azure resources were deployed.
