evidence_id,milestone,domain,artefact_type,relative_path,title,description,row_count,file_size,sha256,source_manifest,source_lineage,validation_target,portfolio_relevance,interview_relevance,synthetic_data_flag,deployment_status
EVID-0018,Milestone 3,portfolio,csv,data/interim/accepted/warehouse_movements.csv,Warehouse Movements,Tracked portfolio evidence for portfolio.,220.0,26670,a431b9f39b1136dec1514db7710ad36990f21b89e1e066566b6611b9e5768b61,data/raw/generation_manifest.json,data/raw/generation_manifest.json,make quality,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0019,Milestone 3,portfolio,json,data/interim/quarantine/equipment_health.jsonl,Equipment Health,Tracked portfolio evidence for portfolio.,0.0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,data/raw/generation_manifest.json,data/raw/generation_manifest.json,make quality,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0020,Milestone 3,inventory,json,data/interim/quarantine/inventory_levels.jsonl,Inventory Levels,Tracked portfolio evidence for inventory.,0.0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,outputs/inventory/inventory-manifest.json,outputs/inventory/lineage-records.json,make validate-inventory,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0021,Milestone 3,portfolio,json,data/interim/quarantine/production_events.jsonl,Production Events,Tracked portfolio evidence for portfolio.,0.0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,data/raw/generation_manifest.json,data/raw/generation_manifest.json,make quality,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0022,Milestone 3,quality,json,data/interim/quarantine/quality_checks.jsonl,Quality Checks,Tracked portfolio evidence for quality.,0.0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,outputs/quality/quality-manifest.json,outputs/quality/lineage-records.json,make validate-quality-analytics,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0023,Milestone 3,portfolio,json,data/interim/quarantine/sales_orders.jsonl,Sales Orders,Tracked portfolio evidence for portfolio.,0.0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,data/raw/generation_manifest.json,data/raw/generation_manifest.json,make quality,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0024,Milestone 3,portfolio,json,data/interim/quarantine/supplier_performance.jsonl,Supplier Performance,Tracked portfolio evidence for portfolio.,0.0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,data/raw/generation_manifest.json,data/raw/generation_manifest.json,make quality,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0025,Milestone 3,portfolio,json,data/interim/quarantine/warehouse_movements.jsonl,Warehouse Movements,Tracked portfolio evidence for portfolio.,0.0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,data/raw/generation_manifest.json,data/raw/generation_manifest.json,make quality,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0026,Cross-milestone,portfolio,file,data/processed/.gitkeep,.Gitkeep,Tracked portfolio evidence for portfolio.,,1,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,data/raw/generation_manifest.json,data/raw/generation_manifest.json,make quality,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0027,Milestone 2,data_generation,file,data/raw/.gitkeep,.Gitkeep,Tracked portfolio evidence for data_generation.,,1,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,data/raw/generation_manifest.json,data/raw/generation_manifest.json,make quality,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0028,Milestone 2,data_generation,json,data/raw/equipment_health.jsonl,Equipment Health,Tracked portfolio evidence for data_generation.,504.0,260611,b40760fcbc55ea3864d65c486b93717958e702ee975041296a6d1c28368c44b1,data/raw/generation_manifest.json,data/raw/generation_manifest.json,make quality,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0029,Milestone 2,data_generation,json,data/raw/generation_manifest.json,Generation Manifest,Tracked portfolio evidence for data_generation.,,2865,0c449c26e4e919847a76b4e31e3ec2ab5dc603fc95e4dd01e1a9d5a5dbcd90e0,data/raw/generation_manifest.json,data/raw/generation_manifest.json,make quality,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0030,Milestone 2,data_generation,markdown,data/raw/generation_summary.md,Generation Summary,Tracked portfolio evidence for data_generation.,,1385,56ab9bbcb3a4747dc25156ae9f635a88d7fa90ad2aae8b1e55f8fe38af3535f3,data/raw/generation_manifest.json,data/raw/generation_manifest.json,make quality,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0031,Milestone 2,inventory,csv,data/raw/inventory_levels.csv,Inventory Levels,Tracked portfolio evidence for inventory.,72.0,6573,dcf350befc3fd06b3545b23c852230eacb2b82b870dd17a60de4111af4dc63eb,outputs/inventory/inventory-manifest.json,outputs/inventory/lineage-records.json,make validate-inventory,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0032,Milestone 2,data_generation,json,data/raw/production_events.jsonl,Production Events,Tracked portfolio evidence for data_generation.,168.0,94769,d080144473f757c435a5f2f1151001f1cd7de3b1ed44a7ed53680b074d975483,data/raw/generation_manifest.json,data/raw/generation_manifest.json,make quality,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0033,Milestone 2,quality,csv,data/raw/quality_checks.csv,Quality Checks,Tracked portfolio evidence for quality.,168.0,25900,7aa6d5f6bbd0b21c0065ee4452008a93eff82d9f9cc572d0b836df18b94422de,outputs/quality/quality-manifest.json,outputs/quality/lineage-records.json,make validate-quality-analytics,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0034,Milestone 2,data_generation,csv,data/raw/sales_orders.csv,Sales Orders,Tracked portfolio evidence for data_generation.,180.0,20684,2c6042fca0499c01b8a810b340dc9571f2a8b8e5a9c89a8d5ca2cacd806274c9,data/raw/generation_manifest.json,data/raw/generation_manifest.json,make quality,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0035,Milestone 2,data_generation,json,data/raw/schema_metadata.json,Schema Metadata,Tracked portfolio evidence for data_generation.,,15491,fb16d439dc187caf56619219ed03da43167a7e73e779502ed11b211eec4886af,data/raw/generation_manifest.json,data/raw/generation_manifest.json,make quality,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0036,Milestone 2,data_generation,csv,data/raw/supplier_performance.csv,Supplier Performance,Tracked portfolio evidence for data_generation.,120.0,14793,8f4746a5169034cc1803f855e7be607c48c04dac9b7f4a28a837159371a590f3,data/raw/generation_manifest.json,data/raw/generation_manifest.json,make quality,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0037,Milestone 2,data_generation,csv,data/raw/warehouse_movements.csv,Warehouse Movements,Tracked portfolio evidence for data_generation.,220.0,26670,a431b9f39b1136dec1514db7710ad36990f21b89e1e066566b6611b9e5768b61,data/raw/generation_manifest.json,data/raw/generation_manifest.json,make quality,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0038,Cross-milestone,portfolio,mermaid,diagrams/azure-data-flow.mmd,Azure Data Flow,Tracked portfolio evidence for portfolio.,,464,ba9f944b788e59a5b1661cdf1b0e587b5ff7964942037ed7042ec4b7ab509730,data/raw/generation_manifest.json,data/raw/generation_manifest.json,make quality,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0039,Cross-milestone,genai,mermaid,diagrams/azure-genai-flow.mmd,Azure Genai Flow,Tracked portfolio evidence for genai.,,379,d9d7a2d35aad755a885402670c22a2f923f5711ae60d3fcf51ff5e6715659a39,outputs/genai/genai-manifest.json,outputs/genai/lineage-records.json,make validate-genai,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0040,Cross-milestone,portfolio,mermaid,diagrams/azure-mlops-flow.mmd,Azure Mlops Flow,Tracked portfolio evidence for portfolio.,,360,5dbb70279e79d316c40f1c8a2d4ad5fd7777faf18f593b98330e7f647c71c07a,data/raw/generation_manifest.json,data/raw/generation_manifest.json,make quality,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0041,Cross-milestone,monitoring,mermaid,diagrams/azure-monitoring-flow.mmd,Azure Monitoring Flow,Tracked portfolio evidence for monitoring.,,360,ba354a0a9b17efbde81d4273fc1b4f3c1c60e37ad1b86f6895928467cbbb7e3c,outputs/monitoring/monitoring-manifest.json,outputs/monitoring/lineage-records.json,make validate-monitoring,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0042,Cross-milestone,architecture,mermaid,diagrams/azure-reference-architecture.mmd,Azure Reference Architecture,Tracked portfolio evidence for architecture.,,840,19cfd3b24fe3dba4d6c92eb21b20a4cf74b7f3877519463a00ff08d38f4b04dd,outputs/architecture/architecture-manifest.json,outputs/architecture/lineage-records.json,make validate-architecture,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0043,Cross-milestone,portfolio,mermaid,diagrams/azure-security-boundary.mmd,Azure Security Boundary,Tracked portfolio evidence for portfolio.,,441,345ad5eaa7a9dadd70d3a4458f5c8c43010d9271215574fdb706965c10f2a7d5,data/raw/generation_manifest.json,data/raw/generation_manifest.json,make quality,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0044,Cross-milestone,portfolio,mermaid,diagrams/data-lifecycle.mmd,Data Lifecycle,Tracked portfolio evidence for portfolio.,,4134,64ed4ca81e6f4dd0d0639528356350829cd07fcf8b83bec7d928bfeae1a01071,data/raw/generation_manifest.json,data/raw/generation_manifest.json,make quality,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0045,Cross-milestone,architecture,mermaid,diagrams/high-level-platform-architecture.mmd,High Level Platform Architecture,Tracked portfolio evidence for architecture.,,6119,9cd5faf581482962315b91806ca5a1c34f58e2a9111b576ebec30b11d53986ec,outputs/architecture/architecture-manifest.json,outputs/architecture/lineage-records.json,make validate-architecture,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0046,Cross-milestone,architecture,markdown,docs/architecture/architecture-overview.md,Architecture Overview,Tracked portfolio evidence for architecture.,,6195,d228f46b0d2fab5204820eedb7e4ed01d5238581d45d2b5b3bb3a1a818e2e413,outputs/architecture/architecture-manifest.json,outputs/architecture/lineage-records.json,make validate-architecture,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0047,Cross-milestone,architecture,markdown,docs/architecture/azure-reference-architecture.md,Azure Reference Architecture,Tracked portfolio evidence for architecture.,,475,d7de8d72e2345e8f3c54c588a289b583473878c2b633b8436ed020648b423fcd,outputs/architecture/architecture-manifest.json,outputs/architecture/lineage-records.json,make validate-architecture,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0048,Cross-milestone,architecture,markdown,docs/architecture/azure-service-mapping.md,Azure Service Mapping,Tracked portfolio evidence for architecture.,,6331,4ac6985a0eee8ca4b736a94a74083166a252c70c8632cbd2e10ea97cd7749c99,outputs/architecture/architecture-manifest.json,outputs/architecture/lineage-records.json,make validate-architecture,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0049,Cross-milestone,architecture,markdown,docs/architecture/cost-management.md,Cost Management,Tracked portfolio evidence for architecture.,,455,a6eaffbcb33eab74dced95ebc9b91f063452a43dce0278f4d411a885ee3c0835,outputs/architecture/architecture-manifest.json,outputs/architecture/lineage-records.json,make validate-architecture,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0050,Cross-milestone,architecture,markdown,docs/architecture/data-architecture.md,Data Architecture,Tracked portfolio evidence for architecture.,,487,86b2f578ec923d7a5dd7d7d3f4816b17d63a567c5fdac23bf0ab6e80aebce735,outputs/architecture/architecture-manifest.json,outputs/architecture/lineage-records.json,make validate-architecture,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0051,Cross-milestone,architecture,markdown,docs/architecture/deployment-boundary.md,Deployment Boundary,Tracked portfolio evidence for architecture.,,370,ab85f1645cd38b1f5e09f95d29d47d16b78fa4b88759f933380bbdc1ae6b0270,outputs/architecture/architecture-manifest.json,outputs/architecture/lineage-records.json,make validate-architecture,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0052,Cross-milestone,architecture,markdown,docs/architecture/genai-architecture.md,Genai Architecture,Tracked portfolio evidence for architecture.,,464,58e93660a66ef23bb66595fcf1d23d455631c27722a723b9f6862219114f9184,outputs/architecture/architecture-manifest.json,outputs/architecture/lineage-records.json,make validate-architecture,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0053,Cross-milestone,architecture,markdown,docs/architecture/local-first-design.md,Local First Design,Tracked portfolio evidence for architecture.,,1046,6789f46ad12292aa4136dac0704cf1d9ebca1b487362f82d9073b4c732e752b3,outputs/architecture/architecture-manifest.json,outputs/architecture/lineage-records.json,make validate-architecture,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0054,Cross-milestone,architecture,markdown,docs/architecture/mlops-architecture.md,Mlops Architecture,Tracked portfolio evidence for architecture.,,449,c94b3e5dec4ccca824102691be690ed7ac4c037fdb6219e268c0e46a7847daf3,outputs/architecture/architecture-manifest.json,outputs/architecture/lineage-records.json,make validate-architecture,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0055,Cross-milestone,architecture,markdown,docs/architecture/operations-architecture.md,Operations Architecture,Tracked portfolio evidence for architecture.,,448,31cd5af845005131002bb0c829bc2498bdb7a0b0c1b9a176840275e258907c49,outputs/architecture/architecture-manifest.json,outputs/architecture/lineage-records.json,make validate-architecture,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0056,Cross-milestone,architecture,markdown,docs/architecture/security-architecture.md,Security Architecture,Tracked portfolio evidence for architecture.,,448,d3d6673459c7e013575d35dcd23f93a35514eb94f366fb69a74ae64171c2a25e,outputs/architecture/architecture-manifest.json,outputs/architecture/lineage-records.json,make validate-architecture,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0057,Cross-milestone,portfolio,markdown,docs/business/business-context.md,Business Context,Tracked portfolio evidence for portfolio.,,991,9396550e1e163b343477e1e7b4ef0e220b8d7a6474bd8f8f8d1209cd539bac17,data/raw/generation_manifest.json,data/raw/generation_manifest.json,make quality,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0058,Cross-milestone,portfolio,markdown,docs/business/kpi-catalogue.md,Kpi Catalogue,Tracked portfolio evidence for portfolio.,,4578,b2af7a1c1904d94b9dc0181da7afa1eac51a5f81f929b10b22410309e6f645c8,data/raw/generation_manifest.json,data/raw/generation_manifest.json,make quality,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0059,Cross-milestone,portfolio,markdown,docs/business/manufacturing-use-cases.md,Manufacturing Use Cases,Tracked portfolio evidence for portfolio.,,1034,ee7352c924144765b7ad380c104edc816a0f224c9acde2d0942eb510158b0839,data/raw/generation_manifest.json,data/raw/generation_manifest.json,make quality,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0060,Cross-milestone,dashboard,markdown,docs/dashboard/dashboard-lineage-and-manifest.md,Dashboard Lineage And Manifest,Tracked portfolio evidence for dashboard.,,580,c5b74b80e19f6711b514898e519ec54f88b4d3167e40d3c3d377a3dd6e5d39af,outputs/dashboard/dashboard-manifest.json,outputs/dashboard/lineage-records.json,make validate-dashboard,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0061,Cross-milestone,dashboard,markdown,docs/dashboard/dashboard-output-design.md,Dashboard Output Design,Tracked portfolio evidence for dashboard.,,431,34d3916049d66675163de96afacba062c763dd2d327c6739108542b206e96249,outputs/dashboard/dashboard-manifest.json,outputs/dashboard/lineage-records.json,make validate-dashboard,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0062,Cross-milestone,dashboard,markdown,docs/dashboard/dashboard-pages.md,Dashboard Pages,Tracked portfolio evidence for dashboard.,,354,1d10c019cec507215ba8aba924f59348cd61003b52408cd98d0c6c4c06de64d7,outputs/dashboard/dashboard-manifest.json,outputs/dashboard/lineage-records.json,make validate-dashboard,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0063,Cross-milestone,dashboard,markdown,docs/dashboard/dashboard-validation.md,Dashboard Validation,Tracked portfolio evidence for dashboard.,,429,6c59d43a3642f8872aa898596cd47b84895633d1edfa8f51ea4d1684d5d7d716,outputs/dashboard/dashboard-manifest.json,outputs/dashboard/lineage-records.json,make validate-dashboard,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0064,Cross-milestone,dashboard,markdown,docs/dashboard/governed-dashboard-inputs.md,Governed Dashboard Inputs,Tracked portfolio evidence for dashboard.,,421,1de5efba9666e9bc0304127b2378d2a92bd2659c590fe360a2de07b2da021254,outputs/dashboard/dashboard-manifest.json,outputs/dashboard/lineage-records.json,make validate-dashboard,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0065,Cross-milestone,dashboard,markdown,docs/dashboard/limitations.md,Limitations,Tracked portfolio evidence for dashboard.,,382,9c5c76bada5c6d65d8770c495167d2264b68e68df1ad75fb0003636725abbaa2,outputs/dashboard/dashboard-manifest.json,outputs/dashboard/lineage-records.json,make validate-dashboard,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0066,Cross-milestone,dashboard,markdown,docs/dashboard/metric-catalogue.md,Metric Catalogue,Tracked portfolio evidence for dashboard.,,395,2efdadf439dcbc8d5c911491e0ece4c7433de939e9872f7eec8c171dd524960f,outputs/dashboard/dashboard-manifest.json,outputs/dashboard/lineage-records.json,make validate-dashboard,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
