dataset_id,dataset_name,relative_path,data_zone,format,row_count,grain,key_fields,domain,validation_status,source_manifest,synthetic_data_flag,limitations
DATA-0038,azure_service_mapping,outputs/architecture/azure_service_mapping.csv,curated_output,csv,15.0,one row per record in file,relative_path,architecture,validated,outputs/architecture/architecture-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0039,azure_service_mapping,outputs/architecture/azure_service_mapping.json,curated_output,json,,document,relative_path,architecture,validated,outputs/architecture/architecture-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0040,cost_considerations,outputs/architecture/cost_considerations.csv,curated_output,csv,7.0,one row per record in file,relative_path,architecture,validated,outputs/architecture/architecture-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0041,data_architecture_layers,outputs/architecture/data_architecture_layers.csv,curated_output,csv,5.0,one row per record in file,relative_path,architecture,validated,outputs/architecture/architecture-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0042,genai_architecture_mapping,outputs/architecture/genai_architecture_mapping.csv,curated_output,csv,3.0,one row per record in file,relative_path,architecture,validated,outputs/architecture/architecture-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0043,lineage-records,outputs/architecture/lineage-records.json,curated_output,json,,document,relative_path,architecture,validated,outputs/architecture/architecture-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0044,mlops_mapping,outputs/architecture/mlops_mapping.csv,curated_output,csv,4.0,one row per record in file,relative_path,architecture,validated,outputs/architecture/architecture-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0045,operations_mapping,outputs/architecture/operations_mapping.csv,curated_output,csv,4.0,one row per record in file,relative_path,architecture,validated,outputs/architecture/architecture-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0046,security_controls_matrix,outputs/architecture/security_controls_matrix.csv,curated_output,csv,9.0,one row per record in file,relative_path,architecture,validated,outputs/architecture/architecture-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0047,dashboard-manifest,outputs/dashboard/dashboard-manifest.json,dashboard,json,,document,dashboard metadata keys,dashboard,validated,outputs/dashboard/dashboard-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0048,dashboard_diagnostics,outputs/dashboard/dashboard_diagnostics.json,dashboard,json,,document,dashboard metadata keys,dashboard,validated,outputs/dashboard/dashboard-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0049,dashboard_page_specs,outputs/dashboard/dashboard_page_specs.json,dashboard,json,,document,dashboard metadata keys,dashboard,validated,outputs/dashboard/dashboard-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0050,dim_dashboard_page,outputs/dashboard/dim_dashboard_page.csv,dashboard,csv,8.0,one row per record in file,dashboard metadata keys,dashboard,validated,outputs/dashboard/dashboard-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0051,dim_date,outputs/dashboard/dim_date.csv,dashboard,csv,26.0,one row per record in file,dashboard metadata keys,dashboard,validated,outputs/dashboard/dashboard-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0052,dim_machine,outputs/dashboard/dim_machine.csv,dashboard,csv,18.0,one row per record in file,dashboard metadata keys,dashboard,validated,outputs/dashboard/dashboard-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0053,dim_metric,outputs/dashboard/dim_metric.csv,dashboard,csv,13.0,one row per record in file,dashboard metadata keys,dashboard,validated,outputs/dashboard/dashboard-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0054,dim_plant,outputs/dashboard/dim_plant.csv,dashboard,csv,3.0,one row per record in file,dashboard metadata keys,dashboard,validated,outputs/dashboard/dashboard-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0055,dim_product,outputs/dashboard/dim_product.csv,dashboard,csv,8.0,one row per record in file,dashboard metadata keys,dashboard,validated,outputs/dashboard/dashboard-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0056,dim_production_line,outputs/dashboard/dim_production_line.csv,dashboard,csv,6.0,one row per record in file,dashboard metadata keys,dashboard,validated,outputs/dashboard/dashboard-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0057,dim_risk_level,outputs/dashboard/dim_risk_level.csv,dashboard,csv,4.0,one row per record in file,dashboard metadata keys,dashboard,validated,outputs/dashboard/dashboard-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0058,dim_supplier,outputs/dashboard/dim_supplier.csv,dashboard,csv,6.0,one row per record in file,dashboard metadata keys,dashboard,validated,outputs/dashboard/dashboard-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0059,dim_warehouse,outputs/dashboard/dim_warehouse.csv,dashboard,csv,4.0,one row per record in file,dashboard metadata keys,dashboard,validated,outputs/dashboard/dashboard-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0060,executive_scorecard,outputs/dashboard/executive_scorecard.csv,dashboard,csv,14.0,one row per record in file,dashboard metadata keys,dashboard,validated,outputs/dashboard/dashboard-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0061,fact_demand_forecast,outputs/dashboard/fact_demand_forecast.csv,dashboard,csv,56.0,one row per record in file,dashboard metadata keys,dashboard,validated,outputs/dashboard/dashboard-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0062,fact_inventory_risk,outputs/dashboard/fact_inventory_risk.csv,dashboard,csv,72.0,one row per record in file,dashboard metadata keys,dashboard,validated,outputs/dashboard/dashboard-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0063,fact_maintenance_alerts,outputs/dashboard/fact_maintenance_alerts.csv,dashboard,csv,135.0,one row per record in file,dashboard metadata keys,dashboard,validated,outputs/dashboard/dashboard-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0064,fact_operations_assistant_narratives,outputs/dashboard/fact_operations_assistant_narratives.csv,dashboard,csv,8.0,one row per record in file,dashboard metadata keys,dashboard,validated,outputs/dashboard/dashboard-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0065,fact_platform_health,outputs/dashboard/fact_platform_health.csv,dashboard,csv,6.0,one row per record in file,dashboard metadata keys,dashboard,validated,outputs/dashboard/dashboard-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0066,fact_production_kpis,outputs/dashboard/fact_production_kpis.csv,dashboard,csv,168.0,one row per record in file,dashboard metadata keys,dashboard,validated,outputs/dashboard/dashboard-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0067,fact_quality_alerts,outputs/dashboard/fact_quality_alerts.csv,dashboard,csv,38.0,one row per record in file,dashboard metadata keys,dashboard,validated,outputs/dashboard/dashboard-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0068,lineage-records,outputs/dashboard/lineage-records.json,dashboard,json,,document,dashboard metadata keys,dashboard,validated,outputs/dashboard/dashboard-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0069,metric_catalogue,outputs/dashboard/metric_catalogue.csv,dashboard,csv,13.0,one row per record in file,dashboard metadata keys,dashboard,validated,outputs/dashboard/dashboard-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0070,semantic_model,outputs/dashboard/semantic_model.json,dashboard,json,,document,dashboard metadata keys,dashboard,validated,outputs/dashboard/dashboard-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0071,visual_specifications,outputs/dashboard/visual_specifications.json,dashboard,json,,document,dashboard metadata keys,dashboard,validated,outputs/dashboard/dashboard-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0072,demand_forecast,outputs/demand_forecast.csv,curated_output,csv,56.0,one row per record in file,relative_path,portfolio,validated,data/raw/generation_manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0073,backtest_metrics,outputs/forecasting/backtest_metrics.csv,curated_output,csv,24.0,one row per record in file,relative_path,forecasting,validated,outputs/forecasting/forecast-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0074,backtest_predictions,outputs/forecasting/backtest_predictions.csv,curated_output,csv,192.0,one row per record in file,relative_path,forecasting,validated,outputs/forecasting/forecast-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0075,daily_demand_series,outputs/forecasting/daily_demand_series.csv,curated_output,csv,112.0,one row per record in file,relative_path,forecasting,validated,outputs/forecasting/forecast-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0076,feature_dataset,outputs/forecasting/feature_dataset.csv,curated_output,csv,112.0,one row per record in file,relative_path,forecasting,validated,outputs/forecasting/forecast-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0077,forecast-manifest,outputs/forecasting/forecast-manifest.json,curated_output,json,,document,relative_path,forecasting,validated,outputs/forecasting/forecast-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0078,forecast_diagnostics,outputs/forecasting/forecast_diagnostics.json,curated_output,json,,document,relative_path,forecasting,validated,outputs/forecasting/forecast-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0079,lineage-records,outputs/forecasting/lineage-records.json,curated_output,json,,document,relative_path,forecasting,validated,outputs/forecasting/forecast-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0080,model_comparison,outputs/forecasting/model_comparison.csv,curated_output,csv,4.0,one row per record in file,relative_path,forecasting,validated,outputs/forecasting/forecast-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0081,model_metadata,outputs/forecasting/model_metadata.json,curated_output,json,,document,relative_path,forecasting,validated,outputs/forecasting/forecast-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0082,split_metadata,outputs/forecasting/split_metadata.json,curated_output,json,,document,relative_path,forecasting,validated,outputs/forecasting/forecast-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0083,test_metrics,outputs/forecasting/test_metrics.csv,curated_output,csv,1.0,one row per record in file,relative_path,forecasting,validated,outputs/forecasting/forecast-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0084,assistant_evaluation,outputs/genai/assistant_evaluation.csv,curated_output,csv,8.0,one row per record in file,relative_path,genai,validated,outputs/genai/genai-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0085,assistant_evaluation_summary,outputs/genai/assistant_evaluation_summary.json,curated_output,json,,document,relative_path,genai,validated,outputs/genai/genai-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0086,assistant_responses,outputs/genai/assistant_responses.json,curated_output,json,,document,relative_path,genai,validated,outputs/genai/genai-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0087,assistant_responses,outputs/genai/assistant_responses.md,curated_output,md,,document,relative_path,genai,validated,outputs/genai/genai-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0088,evidence_catalog,outputs/genai/evidence_catalog.csv,curated_output,csv,27.0,one row per record in file,relative_path,genai,validated,outputs/genai/genai-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0089,evidence_catalog,outputs/genai/evidence_catalog.json,curated_output,json,,document,relative_path,genai,validated,outputs/genai/genai-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0090,genai-manifest,outputs/genai/genai-manifest.json,curated_output,json,,document,relative_path,genai,validated,outputs/genai/genai-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0091,genai_diagnostics,outputs/genai/genai_diagnostics.json,curated_output,json,,document,relative_path,genai,validated,outputs/genai/genai-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0092,guardrail_results,outputs/genai/guardrail_results.json,curated_output,json,,document,relative_path,genai,validated,outputs/genai/genai-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0093,lineage-records,outputs/genai/lineage-records.json,curated_output,json,,document,relative_path,genai,validated,outputs/genai/genai-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0094,prompt_templates,outputs/genai/prompt_templates.json,curated_output,json,,document,relative_path,genai,validated,outputs/genai/genai-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0095,rendered_prompts,outputs/genai/rendered_prompts.json,curated_output,json,,document,relative_path,genai,validated,outputs/genai/genai-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0096,retrieval_results,outputs/genai/retrieval_results.json,curated_output,json,,document,relative_path,genai,validated,outputs/genai/genai-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0097,inventory-manifest,outputs/inventory/inventory-manifest.json,curated_output,json,,document,relative_path,inventory,validated,outputs/inventory/inventory-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0098,inventory_diagnostics,outputs/inventory/inventory_diagnostics.json,curated_output,json,,document,relative_path,inventory,validated,outputs/inventory/inventory-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0099,inventory_health,outputs/inventory/inventory_health.csv,curated_output,csv,72.0,one row per record in file,relative_path,inventory,validated,outputs/inventory/inventory-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0100,inventory_policy_inputs,outputs/inventory/inventory_policy_inputs.csv,curated_output,csv,72.0,one row per record in file,relative_path,inventory,validated,outputs/inventory/inventory-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0101,inventory_position,outputs/inventory/inventory_position.csv,curated_output,csv,72.0,one row per record in file,relative_path,inventory,validated,outputs/inventory/inventory-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0102,inventory_scores,outputs/inventory/inventory_scores.csv,curated_output,csv,72.0,one row per record in file,relative_path,inventory,validated,outputs/inventory/inventory-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0103,inventory_summary,outputs/inventory/inventory_summary.json,curated_output,json,,document,relative_path,inventory,validated,outputs/inventory/inventory-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0104,lineage-records,outputs/inventory/lineage-records.json,curated_output,json,,document,relative_path,inventory,validated,outputs/inventory/inventory-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0105,reorder_recommendations,outputs/inventory/reorder_recommendations.csv,curated_output,csv,72.0,one row per record in file,relative_path,inventory,validated,outputs/inventory/inventory-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0106,scenario_comparison,outputs/inventory/scenario_comparison.csv,curated_output,csv,5.0,one row per record in file,relative_path,inventory,validated,outputs/inventory/inventory-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0107,scenario_results,outputs/inventory/scenario_results.csv,curated_output,csv,5.0,one row per record in file,relative_path,inventory,validated,outputs/inventory/inventory-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0108,supplier_risk_metrics,outputs/inventory/supplier_risk_metrics.csv,curated_output,csv,10.0,one row per record in file,relative_path,inventory,validated,outputs/inventory/inventory-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0109,warehouse_demand_forecast,outputs/inventory/warehouse_demand_forecast.csv,curated_output,csv,112.0,one row per record in file,relative_path,inventory,validated,outputs/inventory/inventory-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0110,inventory_scores,outputs/inventory_scores.csv,curated_output,csv,72.0,one row per record in file,relative_path,inventory,validated,outputs/inventory/inventory-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0111,anomaly_scores,outputs/maintenance/anomaly_scores.csv,curated_output,csv,504.0,one row per record in file,relative_path,maintenance,validated,outputs/maintenance/maintenance-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0112,degradation_signals,outputs/maintenance/degradation_signals.csv,curated_output,csv,504.0,one row per record in file,relative_path,maintenance,validated,outputs/maintenance/maintenance-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0113,equipment_health_features,outputs/maintenance/equipment_health_features.csv,curated_output,csv,504.0,one row per record in file,relative_path,maintenance,validated,outputs/maintenance/maintenance-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0114,equipment_health_scores,outputs/maintenance/equipment_health_scores.csv,curated_output,csv,504.0,one row per record in file,relative_path,maintenance,validated,outputs/maintenance/maintenance-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0115,lineage-records,outputs/maintenance/lineage-records.json,curated_output,json,,document,relative_path,maintenance,validated,outputs/maintenance/maintenance-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0116,machine_health_summary,outputs/maintenance/machine_health_summary.csv,curated_output,csv,18.0,one row per record in file,relative_path,maintenance,validated,outputs/maintenance/maintenance-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0117,maintenance-manifest,outputs/maintenance/maintenance-manifest.json,curated_output,json,,document,relative_path,maintenance,validated,outputs/maintenance/maintenance-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0118,maintenance_alerts,outputs/maintenance/maintenance_alerts.csv,curated_output,csv,135.0,one row per record in file,relative_path,maintenance,validated,outputs/maintenance/maintenance-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0119,maintenance_diagnostics,outputs/maintenance/maintenance_diagnostics.json,curated_output,json,,document,relative_path,maintenance,validated,outputs/maintenance/maintenance-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0120,maintenance_risk_summary,outputs/maintenance/maintenance_risk_summary.csv,curated_output,csv,3.0,one row per record in file,relative_path,maintenance,validated,outputs/maintenance/maintenance-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0121,sensor_health_summary,outputs/maintenance/sensor_health_summary.csv,curated_output,csv,36.0,one row per record in file,relative_path,maintenance,validated,outputs/maintenance/maintenance-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0122,maintenance_predictions,outputs/maintenance_predictions.json,curated_output,json,,document,relative_path,maintenance,validated,outputs/maintenance/maintenance-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0123,data_quality_monitoring,outputs/monitoring/data_quality_monitoring.csv,curated_output,csv,7.0,one row per record in file,relative_path,monitoring,validated,outputs/monitoring/monitoring-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0124,domain_health_scores,outputs/monitoring/domain_health_scores.csv,curated_output,csv,6.0,one row per record in file,relative_path,monitoring,validated,outputs/monitoring/monitoring-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0125,evidence_integrity_checks,outputs/monitoring/evidence_integrity_checks.csv,curated_output,csv,62.0,one row per record in file,relative_path,monitoring,validated,outputs/monitoring/monitoring-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0126,lineage-records,outputs/monitoring/lineage-records.json,curated_output,json,,document,relative_path,monitoring,validated,outputs/monitoring/monitoring-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0127,lineage_completeness,outputs/monitoring/lineage_completeness.csv,curated_output,csv,5.0,one row per record in file,relative_path,monitoring,validated,outputs/monitoring/monitoring-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
